
ANNUAL REVISION FOR 2003

PART B:      NOT SEASONALLY ADJUSTED

EXHIBIT 13.  EXPORTS, IMPORTS AND BALANCE OF GOODS BY SELECTED
             COUNTRIES AND GEOGRAPHIC AREAS, -- ANNUAL 2003

(In millions of dollars. Details may not equal totals due to rounding.
(-) Represents zero or less then half unit of measure.  (X) Not applicable.
 
                                   January - December, Cumulative
 
                                            Trade
              Country                      Balance                 Rank
 
 
Total, BOP Basis                               -547,551.5                     (X)
Net Adjustments                                 -15,201.3                     (X)
Total, Census Basis                            -532,350.3                     (X)
 
Afghanistan                                           4.7                    144
Albania                                               5.3                    145
Algeria                                          -4,261.0                     24
Andorra                                               7.9                    153
Angola                                           -3,776.4                     25
Anguilla                                             20.2                    166
Antigua and Barbuda                                 114.5                    204
Argentina                                          -732.5                     50
Armenia                                              65.2                    192
Aruba                                              -599.5                     54
Australia                                         6,673.9                    229
Austria                                          -2,723.8                     29
Azerbaijan                                          110.3                    203
Bahamas                                             595.4                    220
Bahrain                                             130.2                    208
Bangladesh                                       -1,848.0                     36
Barbados                                            256.7                    213
Belarus                                            -131.3                     84
Belgium                                           5,095.2                    228
Belize                                               97.4                    201
Benin                                                29.5                    175
Bermuda                                             385.9                    218
Bhutan                                                0.5                    130
Bolivia                                              -2.0                    113
Bosnia-Hercegovina                                    9.4                    158
Botswana                                             12.2                    161
Brazil                                           -6,699.3                     20
British Indian Ocean Terr                             2.2                    139
British Virgin Islands                               36.0                    181
Brunei                                             -385.0                     61
Bulgaria                                           -285.7                     67
Burkina                                              10.1                    159
Burma (Myanmar)                                    -268.8                     68
Burundi                                              -2.9                    111
Cambodia                                         -1,204.2                     43
Cameroon                                           -123.2                     85
Canada                                          -51,671.0                      3
Cape Verde                                            3.5                    143
Cayman Islands                                      297.4                    215
Central African Republic                              5.5                    147
Chad                                                 41.9                    183
Chile                                              -990.4                     45
China                                          -124,068.2                      1
Christmas Island                                      0.7                    134
Cocos (Keeling) Island                                0.3                    129
Colombia                                         -2,629.3                     30
Comoros                                              -3.4                    107
Congo (Brazzaville)                                -354.2                     64
Congo (Kinshasa)                                   -143.8                     83
Cook Islands                                         -0.9                    117
Costa Rica                                           49.3                    188
Cote d'Ivoire                                      -386.9                     60
Croatia                                              16.0                    165
Cuba                                                258.8                    214
Cyprus                                              187.3                    211
Czech Republic                                     -721.8                     51
Denmark                                          -2,160.6                     31
Djibouti                                             31.1                    178
Dominica                                             29.1                    174
Dominican Republic                                 -249.8                     72
East Timor                                           -3.0                    110
Ecuador                                          -1,275.3                     42
Egypt                                             1,463.7                    223
El Salvador                                        -198.9                     75
Equatorial Guinea                                  -567.8                     55
Eritrea                                              86.9                    199
Estonia                                             -61.0                     89
Ethiopia                                            378.6                    217
Falkland Islands                                     -4.1                    105
Faroe Islands                                        -3.9                    106
Federal Republic of Germany                     -39,280.8                      5
Fedrated States of Micronesia                         9.3                    156
Fiji                                               -155.8                     80
Finland                                          -1,889.0                     35
France                                          -12,166.3                     13
French Guiana                                       152.3                    209
French Polynesia                                     43.5                    187
French Southern and Antarctic Lands                   0.3                    127
Gabon                                            -1,906.5                     34
Gambia                                               26.5                    170
